resolution,aspect_ratio,orientation,scale,raw_width_after_scale,raw_height_after_scale,output_width,output_height,width_delta,height_delta,rounded_axes
2K,21:9,Portrait,1.8,800.000000,1911.111111,800,1904,0.000000,-7.111111,height
2K,21:9,Portrait,1.9,757.894737,1810.526316,752,1808,-5.894737,-2.526316,width+height
2K,21:9,Portrait,2.0,720.000000,1720.000000,720,1728,0.000000,8.000000,height
4K,1:1,Landscape,1.1,1963.636364,1963.636364,1968,1968,4.363636,4.363636,width+height
4K,1:1,Landscape,1.2,1800.000000,1800.000000,1792,1792,-8.000000,-8.000000,width+height
4K,1:1,Landscape,1.3,1661.538462,1661.538462,1664,1664,2.461538,2.461538,width+height
4K,1:1,Landscape,1.4,1542.857143,1542.857143,1536,1536,-6.857143,-6.857143,width+height
4K,1:1,Landscape,1.6,1350.000000,1350.000000,1344,1344,-6.000000,-6.000000,width+height
4K,1:1,Landscape,1.7,1270.588235,1270.588235,1264,1264,-6.588235,-6.588235,width+height
4K,1:1,Landscape,1.9,1136.842105,1136.842105,1136,1136,-0.842105,-0.842105,width+height
4K,1:1,Landscape,2.0,1080.000000,1080.000000,1088,1088,8.000000,8.000000,width+height
4K,1:1,Portrait,1.1,1963.636364,1963.636364,1968,1968,4.363636,4.363636,width+height
4K,1:1,Portrait,1.2,1800.000000,1800.000000,1792,1792,-8.000000,-8.000000,width+height
4K,1:1,Portrait,1.3,1661.538462,1661.538462,1664,1664,2.461538,2.461538,width+height
4K,1:1,Portrait,1.4,1542.857143,1542.857143,1536,1536,-6.857143,-6.857143,width+height
4K,1:1,Portrait,1.6,1350.000000,1350.000000,1344,1344,-6.000000,-6.000000,width+height
4K,1:1,Portrait,1.7,1270.588235,1270.588235,1264,1264,-6.588235,-6.588235,width+height
4K,1:1,Portrait,1.9,1136.842105,1136.842105,1136,1136,-0.842105,-0.842105,width+height
4K,1:1,Portrait,2.0,1080.000000,1080.000000,1088,1088,8.000000,8.000000,width+height
4K,2:3,Landscape,1.1,3490.909091,2327.272727,3488,2320,-2.909091,-7.272727,width+height
4K,2:3,Landscape,1.2,3200.000000,2133.333333,3200,2128,0.000000,-5.333333,height
4K,2:3,Landscape,1.3,2953.846154,1969.230769,2960,1968,6.153846,-1.230769,width+height
4K,2:3,Landscape,1.4,2742.857143,1828.571429,2736,1824,-6.857143,-4.571429,width+height
4K,2:3,Landscape,1.5,2560.000000,1706.666667,2560,1712,0.000000,5.333333,height
4K,2:3,Landscape,1.7,2258.823529,1505.882353,2256,1504,-2.823529,-1.882353,width+height
4K,2:3,Landscape,1.8,2133.333333,1422.222222,2128,1424,-5.333333,1.777778,width+height
4K,2:3,Landscape,1.9,2021.052632,1347.368421,2016,1344,-5.052632,-3.368421,width+height
4K,2:3,Portrait,1.1,2327.272727,3490.909091,2320,3488,-7.272727,-2.909091,width+height
4K,2:3,Portrait,1.2,2133.333333,3200.000000,2128,3200,-5.333333,0.000000,width
4K,2:3,Portrait,1.3,1969.230769,2953.846154,1968,2960,-1.230769,6.153846,width+height
4K,2:3,Portrait,1.4,1828.571429,2742.857143,1824,2736,-4.571429,-6.857143,width+height
4K,2:3,Portrait,1.5,1706.666667,2560.000000,1712,2560,5.333333,0.000000,width
4K,2:3,Portrait,1.7,1505.882353,2258.823529,1504,2256,-1.882353,-2.823529,width+height
4K,2:3,Portrait,1.8,1422.222222,2133.333333,1424,2128,1.777778,-5.333333,width+height
4K,2:3,Portrait,1.9,1347.368421,2021.052632,1344,2016,-3.368421,-5.052632,width+height
4K,3:4,Landscape,1.1,3490.909091,2618.181818,3488,2624,-2.909091,5.818182,width+height
4K,3:4,Landscape,1.3,2953.846154,2215.384615,2960,2208,6.153846,-7.384615,width+height
4K,3:4,Landscape,1.4,2742.857143,2057.142857,2736,2064,-6.857143,6.857143,width+height
4K,3:4,Landscape,1.6,2400.000000,1800.000000,2400,1792,0.000000,-8.000000,height
4K,3:4,Landscape,1.7,2258.823529,1694.117647,2256,1696,-2.823529,1.882353,width+height
4K,3:4,Landscape,1.8,2133.333333,1600.000000,2128,1600,-5.333333,0.000000,width
4K,3:4,Landscape,1.9,2021.052632,1515.789474,2016,1520,-5.052632,4.210526,width+height
4K,3:4,Portrait,1.1,2618.181818,3490.909091,2624,3488,5.818182,-2.909091,width+height
4K,3:4,Portrait,1.3,2215.384615,2953.846154,2208,2960,-7.384615,6.153846,width+height
4K,3:4,Portrait,1.4,2057.142857,2742.857143,2064,2736,6.857143,-6.857143,width+height
4K,3:4,Portrait,1.6,1800.000000,2400.000000,1792,2400,-8.000000,0.000000,width
4K,3:4,Portrait,1.7,1694.117647,2258.823529,1696,2256,1.882353,-2.823529,width+height
4K,3:4,Portrait,1.8,1600.000000,2133.333333,1600,2128,0.000000,-5.333333,height
4K,3:4,Portrait,1.9,1515.789474,2021.052632,1520,2016,4.210526,-5.052632,width+height
4K,16:9,Landscape,1.1,3490.909091,1963.636364,3488,1968,-2.909091,4.363636,width+height
4K,16:9,Landscape,1.2,3200.000000,1800.000000,3200,1792,0.000000,-8.000000,height
4K,16:9,Landscape,1.3,2953.846154,1661.538462,2960,1664,6.153846,2.461538,width+height
4K,16:9,Landscape,1.4,2742.857143,1542.857143,2736,1536,-6.857143,-6.857143,width+height
4K,16:9,Landscape,1.6,2400.000000,1350.000000,2400,1344,0.000000,-6.000000,height
4K,16:9,Landscape,1.7,2258.823529,1270.588235,2256,1264,-2.823529,-6.588235,width+height
4K,16:9,Landscape,1.8,2133.333333,1200.000000,2128,1200,-5.333333,0.000000,width
4K,16:9,Landscape,1.9,2021.052632,1136.842105,2016,1136,-5.052632,-0.842105,width+height
4K,16:9,Landscape,2.0,1920.000000,1080.000000,1920,1088,0.000000,8.000000,height
4K,16:9,Portrait,1.1,1963.636364,3490.909091,1968,3488,4.363636,-2.909091,width+height
4K,16:9,Portrait,1.2,1800.000000,3200.000000,1792,3200,-8.000000,0.000000,width
4K,16:9,Portrait,1.3,1661.538462,2953.846154,1664,2960,2.461538,6.153846,width+height
4K,16:9,Portrait,1.4,1542.857143,2742.857143,1536,2736,-6.857143,-6.857143,width+height
4K,16:9,Portrait,1.6,1350.000000,2400.000000,1344,2400,-6.000000,0.000000,width
4K,16:9,Portrait,1.7,1270.588235,2258.823529,1264,2256,-6.588235,-2.823529,width+height
4K,16:9,Portrait,1.8,1200.000000,2133.333333,1200,2128,0.000000,-5.333333,height
4K,16:9,Portrait,1.9,1136.842105,2021.052632,1136,2016,-0.842105,-5.052632,width+height
4K,16:9,Portrait,2.0,1080.000000,1920.000000,1088,1920,8.000000,0.000000,width
4K,21:9,Landscape,1.1,4654.545455,1963.636364,4656,1968,1.454545,4.363636,width+height
4K,21:9,Landscape,1.2,4266.666667,1800.000000,4272,1792,5.333333,-8.000000,width+height
4K,21:9,Landscape,1.3,3938.461538,1661.538462,3936,1664,-2.461538,2.461538,width+height
4K,21:9,Landscape,1.4,3657.142857,1542.857143,3664,1536,6.857143,-6.857143,width+height
4K,21:9,Landscape,1.5,3413.333333,1440.000000,3408,1440,-5.333333,0.000000,width
4K,21:9,Landscape,1.6,3200.000000,1350.000000,3200,1344,0.000000,-6.000000,height
4K,21:9,Landscape,1.7,3011.764706,1270.588235,3008,1264,-3.764706,-6.588235,width+height
