resolution,aspect_ratio,orientation,scale,expected_target_width,expected_target_height,raw_width_after_scale,raw_height_after_scale,output_width,output_height,actual_target_width,actual_target_height,target_delta_width,target_delta_height,target_delta,rounded,rounded_axes,width_delta,height_delta
1K,16:9,Landscape,1.8,1920,1080,1066.666667,600.000000,1072,608,1930,1094,10,14,"+10W, +14H",yes,width+height,5.333333,8.000000
1K,16:9,Landscape,1.9,1920,1080,1010.526316,568.421053,1008,576,1915,1094,-5,14,"-5W, +14H",yes,width+height,-2.526316,7.578947
1K,16:9,Landscape,2.0,1920,1080,960.000000,540.000000,960,544,1920,1088,0,8,+8H,yes,height,0.000000,4.000000
1K,16:9,Portrait,1.0,1080,1920,1080.000000,1920.000000,1088,1920,1088,1920,8,0,+8W,yes,width,8.000000,0.000000
1K,16:9,Portrait,1.1,1080,1920,981.818182,1745.454545,976,1744,1074,1918,-6,-2,"-6W, -2H",yes,width+height,-5.818182,-1.454545
1K,16:9,Portrait,1.2,1080,1920,900.000000,1600.000000,896,1600,1075,1920,-5,0,-5W,yes,width,-4.000000,0.000000
1K,16:9,Portrait,1.3,1080,1920,830.769231,1476.923077,832,1472,1082,1914,2,-6,"+2W, -6H",yes,width+height,1.230769,-4.923077
1K,16:9,Portrait,1.4,1080,1920,771.428571,1371.428571,768,1376,1075,1926,-5,6,"-5W, +6H",yes,width+height,-3.428571,4.571429
1K,16:9,Portrait,1.5,1080,1920,720.000000,1280.000000,720,1280,1080,1920,0,0,0,no,,0.000000,0.000000
1K,16:9,Portrait,1.6,1080,1920,675.000000,1200.000000,672,1200,1075,1920,-5,0,-5W,yes,width,-3.000000,0.000000
1K,16:9,Portrait,1.7,1080,1920,635.294118,1129.411765,640,1136,1088,1931,8,11,"+8W, +11H",yes,width+height,4.705882,6.588235
1K,16:9,Portrait,1.8,1080,1920,600.000000,1066.666667,608,1072,1094,1930,14,10,"+14W, +10H",yes,width+height,8.000000,5.333333
1K,16:9,Portrait,1.9,1080,1920,568.421053,1010.526316,576,1008,1094,1915,14,-5,"+14W, -5H",yes,width+height,7.578947,-2.526316
1K,16:9,Portrait,2.0,1080,1920,540.000000,960.000000,544,960,1088,1920,8,0,+8W,yes,width,4.000000,0.000000
1K,21:9,Landscape,1.0,2560,1088,2560.000000,1088.000000,2560,1088,2560,1088,0,0,0,no,,0.000000,0.000000
1K,21:9,Landscape,1.1,2560,1088,2327.272727,989.090909,2320,992,2552,1091,-8,3,"-8W, +3H",yes,width+height,-7.272727,2.909091
1K,21:9,Landscape,1.2,2560,1088,2133.333333,906.666667,2128,912,2554,1094,-6,6,"-6W, +6H",yes,width+height,-5.333333,5.333333
1K,21:9,Landscape,1.3,2560,1088,1969.230769,836.923077,1968,832,2558,1082,-2,-6,"-2W, -6H",yes,width+height,-1.230769,-4.923077
1K,21:9,Landscape,1.4,2560,1088,1828.571429,777.142857,1824,784,2554,1098,-6,10,"-6W, +10H",yes,width+height,-4.571429,6.857143
1K,21:9,Landscape,1.5,2560,1088,1706.666667,725.333333,1712,720,2568,1080,8,-8,"+8W, -8H",yes,width+height,5.333333,-5.333333
1K,21:9,Landscape,1.6,2560,1088,1600.000000,680.000000,1600,672,2560,1075,0,-13,-13H,yes,height,0.000000,-8.000000
1K,21:9,Landscape,1.7,2560,1088,1505.882353,640.000000,1504,640,2557,1088,-3,0,-3W,yes,width,-1.882353,0.000000
1K,21:9,Landscape,1.8,2560,1088,1422.222222,604.444444,1424,608,2563,1094,3,6,"+3W, +6H",yes,width+height,1.777778,3.555556
1K,21:9,Landscape,1.9,2560,1088,1347.368421,572.631579,1344,576,2554,1094,-6,6,"-6W, +6H",yes,width+height,-3.368421,3.368421
1K,21:9,Landscape,2.0,2560,1088,1280.000000,544.000000,1280,544,2560,1088,0,0,0,no,,0.000000,0.000000
1K,21:9,Portrait,1.0,1088,2560,1088.000000,2560.000000,1088,2560,1088,2560,0,0,0,no,,0.000000,0.000000
1K,21:9,Portrait,1.1,1088,2560,989.090909,2327.272727,992,2320,1091,2552,3,-8,"+3W, -8H",yes,width+height,2.909091,-7.272727
1K,21:9,Portrait,1.2,1088,2560,906.666667,2133.333333,912,2128,1094,2554,6,-6,"+6W, -6H",yes,width+height,5.333333,-5.333333
1K,21:9,Portrait,1.3,1088,2560,836.923077,1969.230769,832,1968,1082,2558,-6,-2,"-6W, -2H",yes,width+height,-4.923077,-1.230769
1K,21:9,Portrait,1.4,1088,2560,777.142857,1828.571429,784,1824,1098,2554,10,-6,"+10W, -6H",yes,width+height,6.857143,-4.571429
1K,21:9,Portrait,1.5,1088,2560,725.333333,1706.666667,720,1712,1080,2568,-8,8,"-8W, +8H",yes,width+height,-5.333333,5.333333
1K,21:9,Portrait,1.6,1088,2560,680.000000,1600.000000,672,1600,1075,2560,-13,0,-13W,yes,width,-8.000000,0.000000
1K,21:9,Portrait,1.7,1088,2560,640.000000,1505.882353,640,1504,1088,2557,0,-3,-3H,yes,height,0.000000,-1.882353
1K,21:9,Portrait,1.8,1088,2560,604.444444,1422.222222,608,1424,1094,2563,6,3,"+6W, +3H",yes,width+height,3.555556,1.777778
1K,21:9,Portrait,1.9,1088,2560,572.631579,1347.368421,576,1344,1094,2554,6,-6,"+6W, -6H",yes,width+height,3.368421,-3.368421
1K,21:9,Portrait,2.0,1088,2560,544.000000,1280.000000,544,1280,1088,2560,0,0,0,no,,0.000000,0.000000
2K,1:1,Landscape,1.0,2048,2048,2048.000000,2048.000000,2048,2048,2048,2048,0,0,0,no,,0.000000,0.000000
2K,1:1,Landscape,1.1,2048,2048,1861.818182,1861.818182,1856,1856,2042,2042,-6,-6,"-6W, -6H",yes,width+height,-5.818182,-5.818182
2K,1:1,Landscape,1.2,2048,2048,1706.666667,1706.666667,1712,1712,2054,2054,6,6,"+6W, +6H",yes,width+height,5.333333,5.333333
2K,1:1,Landscape,1.3,2048,2048,1575.384615,1575.384615,1568,1568,2038,2038,-10,-10,"-10W, -10H",yes,width+height,-7.384615,-7.384615
