index,resolution,aspect_ratio,orientation,scale,expected_output_width,expected_output_height,actual_output_width,actual_output_height,output_ok,expected_target_width,expected_target_height,actual_target_width,actual_target_height,target_ok,prompt_id
98,1K,21:9,Landscape,1.9,1352,576,1352,576,true,2569,1094,2569,1094,true,f456ad02-82c5-4bfd-9c5f-cff19022c5ee
99,1K,21:9,Landscape,2.0,1280,544,1280,544,true,2560,1088,2560,1088,true,81ffde21-34c4-444c-b1b6-a82870aa5165
100,1K,21:9,Portrait,1.0,1088,2560,1088,2560,true,1088,2560,1088,2560,true,78dc7dce-c79d-444e-9794-74742c3ab30e
101,1K,21:9,Portrait,1.1,992,2328,992,2328,true,1091,2561,1091,2561,true,65ae2aa3-abd8-48c5-bf41-1fcc9f296e4b
102,1K,21:9,Portrait,1.2,912,2136,912,2136,true,1094,2563,1094,2563,true,c3e536ce-bdc1-4303-8fae-79ed5b16b72c
103,1K,21:9,Portrait,1.3,840,1976,840,1976,true,1092,2569,1092,2569,true,52ce4de3-80c0-4469-acb4-5db6464e7dd1
104,1K,21:9,Portrait,1.4,784,1832,784,1832,true,1098,2565,1098,2565,true,7bc7757a-e179-4612-a307-0fa707b7a495
105,1K,21:9,Portrait,1.5,728,1712,728,1712,true,1092,2568,1092,2568,true,afb1de28-d055-4be5-83b6-0653ceb49eca
106,1K,21:9,Portrait,1.6,680,1600,680,1600,true,1088,2560,1088,2560,true,cfe109c3-0386-4970-bc88-df8a5f552ca4
107,1K,21:9,Portrait,1.7,640,1512,640,1512,true,1088,2570,1088,2570,true,e73ba157-80f9-4354-9c93-cb56343cbdd1
108,1K,21:9,Portrait,1.8,608,1424,608,1424,true,1094,2563,1094,2563,true,6aaef7be-d0c0-4506-9185-7567b6d5a1ef
109,1K,21:9,Portrait,1.9,576,1352,576,1352,true,1094,2569,1094,2569,true,4e7ccf48-e9ec-4a0b-bdd5-6fc2092bf42e
110,1K,21:9,Portrait,2.0,544,1280,544,1280,true,1088,2560,1088,2560,true,6903ff33-09f5-4fd7-a9ec-a40857724ecd
111,2K,1:1,Landscape,1.0,2048,2048,2048,2048,true,2048,2048,2048,2048,true,5c15865c-5af7-47ed-b67d-2d0a5a1d22c3
112,2K,1:1,Landscape,1.1,1864,1864,1864,1864,true,2050,2050,2050,2050,true,e83e3499-8a40-4352-9f93-9c4a6bc08006
113,2K,1:1,Landscape,1.2,1712,1712,1712,1712,true,2054,2054,2054,2054,true,111a3f41-d724-45e8-ae5a-06101b7271f9
114,2K,1:1,Landscape,1.3,1576,1576,1576,1576,true,2049,2049,2049,2049,true,3444a173-0b6b-4dc1-8724-40ea8af0de0d
115,2K,1:1,Landscape,1.4,1464,1464,1464,1464,true,2050,2050,2050,2050,true,04c9821e-3a3f-4fab-8e49-2c407e25d63c
116,2K,1:1,Landscape,1.5,1368,1368,1368,1368,true,2052,2052,2052,2052,true,c66501ad-c881-46b8-ac8f-030ee16d5579
117,2K,1:1,Landscape,1.6,1280,1280,1280,1280,true,2048,2048,2048,2048,true,4cdbbc72-0a08-427f-82ab-141844ddc02f
118,2K,1:1,Landscape,1.7,1208,1208,1208,1208,true,2054,2054,2054,2054,true,4faabc4a-ce26-42ae-a03e-b3d30f38a2ec
119,2K,1:1,Landscape,1.8,1144,1144,1144,1144,true,2059,2059,2059,2059,true,67771e70-2e6e-4300-848d-c38144142ef9
120,2K,1:1,Landscape,1.9,1080,1080,1080,1080,true,2052,2052,2052,2052,true,af904c06-16a9-43da-a887-58807e3545b8
121,2K,1:1,Landscape,2.0,1024,1024,1024,1024,true,2048,2048,2048,2048,true,dd51148c-5532-4481-b634-3279e33ca3f5
122,2K,1:1,Portrait,1.0,2048,2048,2048,2048,true,2048,2048,2048,2048,true,9a48e743-4e91-42f6-b1d1-b8c2e8e60049
123,2K,1:1,Portrait,1.1,1864,1864,1864,1864,true,2050,2050,2050,2050,true,0f1e1015-6b77-4fc9-8052-6838d42da88c
124,2K,1:1,Portrait,1.2,1712,1712,1712,1712,true,2054,2054,2054,2054,true,e750add0-4dcc-4b11-99ee-f8ebb603c59c
125,2K,1:1,Portrait,1.3,1576,1576,1576,1576,true,2049,2049,2049,2049,true,c5f86cd0-e176-4b29-9d05-da2dda53f419
126,2K,1:1,Portrait,1.4,1464,1464,1464,1464,true,2050,2050,2050,2050,true,846cf747-8e85-423e-bffd-fdf8b377c968
127,2K,1:1,Portrait,1.5,1368,1368,1368,1368,true,2052,2052,2052,2052,true,37b0406c-6c67-4474-9952-80052c9e12fe
128,2K,1:1,Portrait,1.6,1280,1280,1280,1280,true,2048,2048,2048,2048,true,149cc9e1-e73e-4da3-86bb-a272816a0b02
129,2K,1:1,Portrait,1.7,1208,1208,1208,1208,true,2054,2054,2054,2054,true,ec10cd6e-90e4-404a-a2ba-4f6ff95ee99a
130,2K,1:1,Portrait,1.8,1144,1144,1144,1144,true,2059,2059,2059,2059,true,942e2e3f-9a4b-4a64-bfa5-9a4b2a1e4a72
131,2K,1:1,Portrait,1.9,1080,1080,1080,1080,true,2052,2052,2052,2052,true,96b23285-0975-452d-b0d9-e459bdd5c1ca
132,2K,1:1,Portrait,2.0,1024,1024,1024,1024,true,2048,2048,2048,2048,true,b147b139-ab60-4745-937e-e134b3fab8a0
133,2K,2:3,Landscape,1.0,2560,1712,2560,1712,true,2560,1712,2560,1712,true,5fd3d140-209c-41d1-9739-ed0d9e1f6ac6
134,2K,2:3,Landscape,1.1,2328,1560,2328,1560,true,2561,1716,2561,1716,true,b57931ad-0020-49a3-8a7a-96f61c0d2759
135,2K,2:3,Landscape,1.2,2136,1432,2136,1432,true,2563,1718,2563,1718,true,3fbd1e63-ffe8-487d-8548-09c3d363f659
136,2K,2:3,Landscape,1.3,1976,1320,1976,1320,true,2569,1716,2569,1716,true,4d809006-331e-4eac-af98-82c19c461f34
137,2K,2:3,Landscape,1.4,1832,1224,1832,1224,true,2565,1714,2565,1714,true,81188369-1e3c-4ff5-9110-abe1df6b1995
138,2K,2:3,Landscape,1.5,1712,1144,1712,1144,true,2568,1716,2568,1716,true,9f3a6e8a-5ec8-46d8-b815-10d54702b096
139,2K,2:3,Landscape,1.6,1600,1072,1600,1072,true,2560,1715,2560,1715,true,7c95c97b-db89-485a-9bb6-96fdaed0bc81
140,2K,2:3,Landscape,1.7,1512,1008,1512,1008,true,2570,1714,2570,1714,true,6d91443a-5941-4932-bf2f-adb1309bb967
141,2K,2:3,Landscape,1.8,1424,952,1424,952,true,2563,1714,2563,1714,true,e8889079-74b5-4429-98a5-dd05654f180a
142,2K,2:3,Landscape,1.9,1352,904,1352,904,true,2569,1718,2569,1718,true,f5418c66-b7ef-44eb-af09-b392c28635e9
143,2K,2:3,Landscape,2.0,1280,856,1280,856,true,2560,1712,2560,1712,true,94c7348e-d421-4d86-bfa5-6de91f4d65ee
144,2K,2:3,Portrait,1.0,1712,2560,1712,2560,true,1712,2560,1712,2560,true,47b9063a-9d14-4589-948f-1814ce4d9f00
145,2K,2:3,Portrait,1.1,1560,2328,1560,2328,true,1716,2561,1716,2561,true,3bc14e64-a695-4c2f-805d-583c102e5a7a
146,2K,2:3,Portrait,1.2,1432,2136,1432,2136,true,1718,2563,1718,2563,true,e2081409-1ee1-413e-bf14-157509fc4773
147,2K,2:3,Portrait,1.3,1320,1976,1320,1976,true,1716,2569,1716,2569,true,1ea608c0-c3e6-4173-861e-c622f8518ed1
148,2K,2:3,Portrait,1.4,1224,1832,1224,1832,true,1714,2565,1714,2565,true,7c44f5f2-d3b8-4e5c-9d14-8023b3ec35c5
149,2K,2:3,Portrait,1.5,1144,1712,1144,1712,true,1716,2568,1716,2568,true,ff6aecbf-93fa-47eb-9f8e-fb9454407269
150,2K,2:3,Portrait,1.6,1072,1600,1072,1600,true,1715,2560,1715,2560,true,f884331e-6bf7-4a2c-b6ed-adb10d63b821
151,2K,2:3,Portrait,1.7,1008,1512,1008,1512,true,1714,2570,1714,2570,true,3fe37fb8-c5ca-47be-af0f-c04e9ddcab16
152,2K,2:3,Portrait,1.8,952,1424,952,1424,true,1714,2563,1714,2563,true,748d71c4-30e3-4c4d-8002-a2f61a267f2f
153,2K,2:3,Portrait,1.9,904,1352,904,1352,true,1718,2569,1718,2569,true,a913c3ad-bf41-40a0-8fd3-8acde2197ab5
154,2K,2:3,Portrait,2.0,856,1280,856,1280,true,1712,2560,1712,2560,true,80da2f47-3dfe-49f0-b269-d1fa3c38ea1b
155,2K,3:4,Landscape,1.0,2560,1920,2560,1920,true,2560,1920,2560,1920,true,bac488fa-c788-439a-bdfe-a9db4f853eb0
156,2K,3:4,Landscape,1.1,2328,1752,2328,1752,true,2561,1927,2561,1927,true,cb32e71f-465c-40b9-8641-ef5a70573402
157,2K,3:4,Landscape,1.2,2136,1600,2136,1600,true,2563,1920,2563,1920,true,90ef6ecf-ee94-4cc7-8346-1a307c0e29d0
158,2K,3:4,Landscape,1.3,1976,1480,1976,1480,true,2569,1924,2569,1924,true,e0ff71b2-dc7a-4ad6-a36a-4e2f2ca7b51a
159,2K,3:4,Landscape,1.4,1832,1376,1832,1376,true,2565,1926,2565,1926,true,dccc9abc-4bac-4939-a755-5b7d2a8cdd8a
160,2K,3:4,Landscape,1.5,1712,1280,1712,1280,true,2568,1920,2568,1920,true,3e972f88-3554-4f3b-89b9-37eced6688fc
